category,collection,name,slug,image,short_description,description,price,available,handle
Lightsaber,,Reobrix Royal Claymore,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/ReobrixRoyalClaymore_1.jpg?v=1713249668,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99015</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 981<br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 18*7*36 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-royal-claymore
Lightsaber,,Reobrix The Sword Of The Masters,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/ReobrixTheSwordOfTheMasters_1.jpg?v=1713249162,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99014</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 820<br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 18*7*36 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-the-sword-of-the-masters
Lightsaber,,Reobrix Construction Sets Lightsaber-White,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/1_2f08380a-99a8-4b89-98b9-7df5e0c44aef.jpg?v=1712030156,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99013</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 606<br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 32*18*7 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-construction-sets-lightsaber-white
Lightsaber,,Reobrix Construction Sets Lightsaber-Yellow,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/reobrixconstructionsetslightsaber_1_2f987582-9704-40b6-ad98-f2c56a3ae4f3.jpg?v=1712030058,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99012</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 598<br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 32*18*7 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,copy-of-reobrix-construction-sets-lightsaber-green
Lightsaber,,Reobrix Construction Sets Lightsaber-Green,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/reobrixconstructionsetslightsaber_1.png?v=1712029886,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99011</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 578<br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 32*18*7 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,copy-of-reobrix-construction-sets-lightsaber-blue
Lightsaber,,Reobrix Construction Sets Lightsaber-Blue,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/reobrixconstructionsetslightsaber_1.jpg?v=1712127168,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99010</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 629<br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 32*18*7 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-construction-sets-lightsaber
Space,,Reobrix T6 Shuttle,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/ReobrixConstructionSetsT6Shuttle-1.jpg?v=1710318353,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99006</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 5749 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*35*28 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-99006-t6-shuttle
Space,,Reobrix Transport Vehicle - Dynamic Version,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/ReobrixConstructionSetsTransportVehicle-DynamicVersion-1.jpg?v=1710481415,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99005</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1758 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 49*38*10 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-99005-transport-vehicle-dynamic-version
Space,,Reobrix Troop Transport Vehicle - Dynamic Version,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/ReobrixConstructionSetsTroopTransportVehicle-DynamicVersion-1.jpg?v=1710481448,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99004</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1298 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 52*40*8 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-99004-troop-transport-vehicle-dynamic-version
Space,,Reobrix Walking Mechanism - Dynamic Version,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/ReobrixConstructionSetsWalkingMechanism-DynamicVersion-1.jpg?v=1710483568,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99003</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1378 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 52*40*8 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-99003-walking-mechanism-dynamic-version
Space,,Reobrix Anti-Aircraft Cannon - Dynamic Version,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/ReobrixConstructionSetsAnti-AircraftCannon-DynamicVersion-1.jpg?v=1710481789,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99002</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 850 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 40*35*8 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-99002-anti-aircraft-cannon-dynamic-version
Space,,Reobrix Aviation Vehicle - Dynamic Version,,https://cdn.shopify.com/s/files/1/0632/2939/5192/files/ReobrixConstructionSetsAviationVehicle-DynamicVersion-1.jpg?v=1710482043,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 99001</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 700 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 40*35*8 CM</span></p>
<p data-mce-fragment=""1"">Package Type: Original packaging included (color box)</p>",,,reobrix-99001-aviation-vehicle-dynamic-version
